payout_id,payout_date,vendor_id,amount,currency,status,description
PAY-1001,2024-02-02,V001,11940.34,USD,Completed,"Payout to Amazon Web Services, Inc. for monthly services"
PAY-1013,2024-02-04,V003,6613.77,USD,Completed,Payout to Acme Corporation for monthly services
PAY-1050,2024-02-04,V010,6470.93,USD,Completed,Payout to Google Cloud Platform for monthly services
PAY-1039,2024-02-05,V008,20560.87,USD,Completed,Payout to Deloitte Advisory for monthly services
PAY-1022,2024-02-08,V005,1474.52,USD,Pending,Payout to Cloudflare Inc. for monthly services
PAY-1044,2024-02-08,V009,9978.26,USD,Pending,Payout to WeWork Global for monthly services
PAY-1005,2024-02-09,V002,3886.65,USD,Completed,Payout to Amazon Logistics LLC for monthly services
PAY-1051,2024-02-10,V010,6661.57,USD,Completed,Payout to Google Cloud Platform for monthly services
PAY-1063,2024-02-14,V012,1573.59,USD,Completed,Payout to Slack Technologies for monthly services
PAY-1034,2024-02-16,V007,8811.69,USD,Completed,Payout to Salesforce.com Inc. for monthly services
PAY-1058,2024-02-16,V011,2026.74,USD,Completed,Payout to Datadog Inc. for monthly services
PAY-1062,2024-02-17,V012,1369.89,USD,Completed,Payout to Slack Technologies for monthly services
PAY-1018,2024-02-19,V004,2920.81,USD,Completed,Payout to CloudScale Technologies for monthly services
PAY-1012,2024-02-20,V003,6437.48,USD,Completed,Payout to Acme Corporation for monthly services
PAY-1006,2024-02-26,V002,4702.67,USD,Completed,Payout to Amazon Logistics LLC for monthly services
PAY-1028,2024-02-26,V006,12582.18,USD,Completed,Payout to Stripe Payments for monthly services
PAY-1033,2024-02-26,V007,8846.12,USD,Completed,Payout to Salesforce.com Inc. for monthly services
PAY-1045,2024-02-26,V009,10957.86,USD,Completed,Payout to WeWork Global for monthly services
PAY-1057,2024-02-27,V011,2346.43,USD,Completed,Payout to Datadog Inc. for monthly services
PAY-1008,2024-03-05,V002,5048.58,USD,Completed,Payout to Amazon Logistics LLC for monthly services
PAY-1029,2024-03-06,V006,7019.41,USD,Completed,Payout to Stripe Payments for monthly services
PAY-1023,2024-03-08,V005,1687.64,USD,Pending,Payout to Cloudflare Inc. for monthly services
PAY-1040,2024-03-09,V008,12344.68,USD,Completed,Payout to Deloitte Advisory for monthly services
PAY-1052,2024-03-09,V010,6393.65,USD,Completed,Payout to Google Cloud Platform for monthly services
PAY-1059,2024-03-10,V011,1605.58,USD,Completed,Payout to Datadog Inc. for monthly services
PAY-1064,2024-03-10,V012,1448.24,USD,Pending,Payout to Slack Technologies for monthly services
PAY-1007,2024-03-12,V002,4402.94,USD,Completed,Payout to Amazon Logistics LLC for monthly services
PAY-1019,2024-03-16,V004,2622.39,USD,Completed,Payout to CloudScale Technologies for monthly services
