transaction_id,transaction_date,vendor_id,account_id,amount,transaction_type,payout_id,description
TXN-50001,2024-02-02,V001,ACC-6002,11940.34,Debit,PAY-1001,"Payout to Amazon Web Services, Inc. for monthly services"
TXN-50076,2024-02-03,V010,ACC-6002,552.53,Debit,,Incidental expense for Google Cloud Platform
TXN-50013,2024-02-04,V003,ACC-6001,6613.77,Debit,PAY-1013,Payout to Acme Corporation for monthly services
TXN-50050,2024-02-04,V010,ACC-6002,6470.93,Debit,PAY-1050,Payout to Google Cloud Platform for monthly services
TXN-50073,2024-02-04,V010,ACC-6002,492.23,Debit,,Incidental expense for Google Cloud Platform
TXN-50084,2024-02-04,V009,ACC-6004,1116.56,Debit,,Incidental expense for WeWork Global
TXN-50086,2024-02-04,V004,ACC-6002,1788.97,Debit,,Incidental expense for CloudScale Technologies
TXN-50039,2024-02-05,V008,ACC-6003,20560.87,Debit,PAY-1039,Payout to Deloitte Advisory for monthly services
TXN-50022,2024-02-08,V005,ACC-6002,1474.52,Debit,PAY-1022,Payout to Cloudflare Inc. for monthly services
TXN-50044,2024-02-08,V009,ACC-6004,9978.26,Debit,PAY-1044,Payout to WeWork Global for monthly services
TXN-50005,2024-02-09,V002,ACC-6005,3886.65,Debit,PAY-1005,Payout to Amazon Logistics LLC for monthly services
TXN-50074,2024-02-09,V007,ACC-6001,715.51,Debit,,Incidental expense for Salesforce.com Inc.
TXN-50051,2024-02-10,V010,ACC-6002,6661.57,Debit,PAY-1051,Payout to Google Cloud Platform for monthly services
TXN-50085,2024-02-10,V003,ACC-6001,4213.02,Debit,,Incidental expense for Acme Corporation
TXN-50081,2024-02-11,V008,ACC-6003,1559.56,Debit,,Incidental expense for Deloitte Advisory
TXN-50078,2024-02-12,V005,ACC-6002,1078.31,Debit,,Incidental expense for Cloudflare Inc.
TXN-50063,2024-02-14,V012,ACC-6001,1573.59,Debit,PAY-1063,Payout to Slack Technologies for monthly services
TXN-50080,2024-02-14,V003,ACC-6001,3088.27,Debit,,Incidental expense for Acme Corporation
