transaction_id,reconciliation_status,reconciled_date,notes
TXN-50001,Reconciled,2024-02-05,Matched with bank feed
TXN-50002,Reconciled,2024-03-27,Matched with bank feed
TXN-50003,Reconciled,2024-04-25,Matched with bank feed
TXN-50004,Unreconciled,,Unmatched in ledger
TXN-50005,Pending,,Awaiting bank confirmation
TXN-50006,Unreconciled,,Unmatched in ledger
TXN-50007,Reconciled,2024-03-16,Matched with bank feed
TXN-50008,Reconciled,2024-03-08,Matched with bank feed
TXN-50009,Reconciled,2024-04-14,Matched with bank feed
TXN-50010,Pending,,Awaiting bank confirmation
TXN-50011,Reconciled,2024-05-17,Matched with bank feed
TXN-50012,Reconciled,2024-02-23,Matched with bank feed
TXN-50013,Reconciled,2024-02-07,Matched with bank feed
TXN-50014,Reconciled,2024-03-31,Matched with bank feed
TXN-50015,Reconciled,2024-04-18,Matched with bank feed
TXN-50016,Reconciled,2024-05-15,Matched with bank feed
TXN-50017,Reconciled,2024-05-13,Matched with bank feed
TXN-50018,Reconciled,2024-02-20,Matched with bank feed
TXN-50019,Reconciled,2024-03-18,Matched with bank feed
TXN-50020,Reconciled,2024-04-28,Matched with bank feed
TXN-50021,Reconciled,2024-05-12,Matched with bank feed
TXN-50022,Reconciled,2024-02-12,Matched with bank feed
TXN-50023,Reconciled,2024-03-13,Matched with bank feed
TXN-50024,Reconciled,2024-03-18,Matched with bank feed
TXN-50025,Reconciled,2024-04-12,Matched with bank feed
TXN-50026,Unreconciled,,Unmatched in ledger
TXN-50027,Reconciled,2024-05-16,Matched with bank feed
TXN-50028,Reconciled,2024-02-28,Matched with bank feed
TXN-50029,Reconciled,2024-03-08,Matched with bank feed
TXN-50030,Unreconciled,,Unmatched in ledger
TXN-50031,Reconciled,2024-05-19,Matched with bank feed
TXN-50032,Reconciled,2024-05-27,Matched with bank feed
TXN-50033,Reconciled,2024-02-27,Matched with bank feed
TXN-50034,Reconciled,2024-02-21,Matched with bank feed
TXN-50035,Reconciled,2024-03-22,Matched with bank feed
TXN-50036,Reconciled,2024-03-24,Matched with bank feed
TXN-50037,Reconciled,2024-04-07,Matched with bank feed
TXN-50038,Pending,,Awaiting bank confirmation
